0 1 2 3 4
PALB2 FANCF RAD51C FANCC FANCA
PALB2 FANCF RAD51C FANCC DBNDD1
PALB2 FANCF RAD51C FANCC AC133919.6
PALB2 FANCF RAD51C FANCC RP11-356C4.2
PALB2 FANCF RAD51C TMOD1 FANCA
PALB2 FANCF RAD51C TMOD1 DBNDD1
PALB2 FANCF RAD51C TMOD1 AC133919.6
PALB2 FANCF RAD51C TMOD1 RP11-356C4.2
PALB2 FANCF RAD51C MSANTD3-TMEFF1 FANCA
PALB2 FANCF RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 FANCF RAD51C MSANTD3-TMEFF1 AC133919.6
PALB2 FANCF RAD51C MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FANCF RAD51C TEX10 FANCA
PALB2 FANCF RAD51C TEX10 DBNDD1
PALB2 FANCF RAD51C TEX10 AC133919.6
PALB2 FANCF RAD51C TEX10 RP11-356C4.2
PALB2 FANCF BRIP1 FANCC FANCA
PALB2 FANCF BRIP1 FANCC DBNDD1
PALB2 FANCF BRIP1 FANCC AC133919.6
PALB2 FANCF BRIP1 FANCC RP11-356C4.2
PALB2 FANCF BRIP1 TMOD1 FANCA
PALB2 FANCF BRIP1 TMOD1 DBNDD1
PALB2 FANCF BRIP1 TMOD1 AC133919.6
PALB2 FANCF BRIP1 TMOD1 RP11-356C4.2
PALB2 FANCF BRIP1 MSANTD3-TMEFF1 FANCA
PALB2 FANCF BRIP1 MSANTD3-TMEFF1 DBNDD1
PALB2 FANCF BRIP1 MSANTD3-TMEFF1 AC133919.6
PALB2 FANCF BRIP1 MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FANCF BRIP1 TEX10 FANCA
PALB2 FANCF BRIP1 TEX10 DBNDD1
PALB2 FANCF BRIP1 TEX10 AC133919.6
PALB2 FANCF BRIP1 TEX10 RP11-356C4.2
PALB2 FANCF CD79B FANCC FANCA
PALB2 FANCF CD79B FANCC DBNDD1
PALB2 FANCF CD79B FANCC AC133919.6
PALB2 FANCF CD79B FANCC RP11-356C4.2
PALB2 FANCF CD79B TMOD1 FANCA
PALB2 FANCF CD79B TMOD1 DBNDD1
PALB2 FANCF CD79B TMOD1 AC133919.6
PALB2 FANCF CD79B TMOD1 RP11-356C4.2
PALB2 FANCF CD79B MSANTD3-TMEFF1 FANCA
PALB2 FANCF CD79B MSANTD3-TMEFF1 DBNDD1
PALB2 FANCF CD79B MSANTD3-TMEFF1 AC133919.6
PALB2 FANCF CD79B MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FANCF CD79B TEX10 FANCA
PALB2 FANCF CD79B TEX10 DBNDD1
PALB2 FANCF CD79B TEX10 AC133919.6
PALB2 FANCF CD79B TEX10 RP11-356C4.2
PALB2 CSTF3 RAD51C FANCC FANCA
PALB2 CSTF3 RAD51C FANCC DBNDD1
PALB2 CSTF3 RAD51C FANCC AC133919.6
PALB2 CSTF3 RAD51C FANCC RP11-356C4.2
PALB2 CSTF3 RAD51C TMOD1 FANCA
PALB2 CSTF3 RAD51C TMOD1 DBNDD1
PALB2 CSTF3 RAD51C TMOD1 AC133919.6
PALB2 CSTF3 RAD51C TMOD1 RP11-356C4.2
PALB2 CSTF3 RAD51C MSANTD3-TMEFF1 FANCA
PALB2 CSTF3 RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 CSTF3 RAD51C MSANTD3-TMEFF1 AC133919.6
PALB2 CSTF3 RAD51C MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CSTF3 RAD51C TEX10 FANCA
PALB2 CSTF3 RAD51C TEX10 DBNDD1
PALB2 CSTF3 RAD51C TEX10 AC133919.6
PALB2 CSTF3 RAD51C TEX10 RP11-356C4.2
PALB2 CSTF3 BRIP1 FANCC FANCA
PALB2 CSTF3 BRIP1 FANCC DBNDD1
PALB2 CSTF3 BRIP1 FANCC AC133919.6
PALB2 CSTF3 BRIP1 FANCC RP11-356C4.2
PALB2 CSTF3 BRIP1 TMOD1 FANCA
PALB2 CSTF3 BRIP1 TMOD1 DBNDD1
PALB2 CSTF3 BRIP1 TMOD1 AC133919.6
PALB2 CSTF3 BRIP1 TMOD1 RP11-356C4.2
PALB2 CSTF3 BRIP1 MSANTD3-TMEFF1 FANCA
PALB2 CSTF3 BRIP1 MSANTD3-TMEFF1 DBNDD1
PALB2 CSTF3 BRIP1 MSANTD3-TMEFF1 AC133919.6
PALB2 CSTF3 BRIP1 MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CSTF3 BRIP1 TEX10 FANCA
PALB2 CSTF3 BRIP1 TEX10 DBNDD1
PALB2 CSTF3 BRIP1 TEX10 AC133919.6
PALB2 CSTF3 BRIP1 TEX10 RP11-356C4.2
PALB2 CSTF3 CD79B FANCC FANCA
PALB2 CSTF3 CD79B FANCC DBNDD1
PALB2 CSTF3 CD79B FANCC AC133919.6
PALB2 CSTF3 CD79B FANCC RP11-356C4.2
PALB2 CSTF3 CD79B TMOD1 FANCA
PALB2 CSTF3 CD79B TMOD1 DBNDD1
PALB2 CSTF3 CD79B TMOD1 AC133919.6
PALB2 CSTF3 CD79B TMOD1 RP11-356C4.2
PALB2 CSTF3 CD79B MSANTD3-TMEFF1 FANCA
PALB2 CSTF3 CD79B MSANTD3-TMEFF1 DBNDD1
PALB2 CSTF3 CD79B MSANTD3-TMEFF1 AC133919.6
PALB2 CSTF3 CD79B MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CSTF3 CD79B TEX10 FANCA
PALB2 CSTF3 CD79B TEX10 DBNDD1
PALB2 CSTF3 CD79B TEX10 AC133919.6
PALB2 CSTF3 CD79B TEX10 RP11-356C4.2
PALB2 FBXO3 RAD51C FANCC FANCA
PALB2 FBXO3 RAD51C FANCC DBNDD1
PALB2 FBXO3 RAD51C FANCC AC133919.6
PALB2 FBXO3 RAD51C FANCC RP11-356C4.2
PALB2 FBXO3 RAD51C TMOD1 FANCA
PALB2 FBXO3 RAD51C TMOD1 DBNDD1
PALB2 FBXO3 RAD51C TMOD1 AC133919.6
PALB2 FBXO3 RAD51C TMOD1 RP11-356C4.2
PALB2 FBXO3 RAD51C MSANTD3-TMEFF1 FANCA
PALB2 FBXO3 RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 FBXO3 RAD51C MSANTD3-TMEFF1 AC133919.6
PALB2 FBXO3 RAD51C MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FBXO3 RAD51C TEX10 FANCA
PALB2 FBXO3 RAD51C TEX10 DBNDD1
PALB2 FBXO3 RAD51C TEX10 AC133919.6
PALB2 FBXO3 RAD51C TEX10 RP11-356C4.2
PALB2 FBXO3 BRIP1 FANCC FANCA
PALB2 FBXO3 BRIP1 FANCC DBNDD1
PALB2 FBXO3 BRIP1 FANCC AC133919.6
PALB2 FBXO3 BRIP1 FANCC RP11-356C4.2
PALB2 FBXO3 BRIP1 TMOD1 FANCA
PALB2 FBXO3 BRIP1 TMOD1 DBNDD1
PALB2 FBXO3 BRIP1 TMOD1 AC133919.6
PALB2 FBXO3 BRIP1 TMOD1 RP11-356C4.2
PALB2 FBXO3 BRIP1 MSANTD3-TMEFF1 FANCA
PALB2 FBXO3 BRIP1 MSANTD3-TMEFF1 DBNDD1
PALB2 FBXO3 BRIP1 MSANTD3-TMEFF1 AC133919.6
PALB2 FBXO3 BRIP1 MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FBXO3 BRIP1 TEX10 FANCA
PALB2 FBXO3 BRIP1 TEX10 DBNDD1
PALB2 FBXO3 BRIP1 TEX10 AC133919.6
PALB2 FBXO3 BRIP1 TEX10 RP11-356C4.2
PALB2 FBXO3 CD79B FANCC FANCA
PALB2 FBXO3 CD79B FANCC DBNDD1
PALB2 FBXO3 CD79B FANCC AC133919.6
PALB2 FBXO3 CD79B FANCC RP11-356C4.2
PALB2 FBXO3 CD79B TMOD1 FANCA
PALB2 FBXO3 CD79B TMOD1 DBNDD1
PALB2 FBXO3 CD79B TMOD1 AC133919.6
PALB2 FBXO3 CD79B TMOD1 RP11-356C4.2
PALB2 FBXO3 CD79B MSANTD3-TMEFF1 FANCA
PALB2 FBXO3 CD79B MSANTD3-TMEFF1 DBNDD1
PALB2 FBXO3 CD79B MSANTD3-TMEFF1 AC133919.6
PALB2 FBXO3 CD79B MSANTD3-TMEFF1 RP11-356C4.2
PALB2 FBXO3 CD79B TEX10 FANCA
PALB2 FBXO3 CD79B TEX10 DBNDD1
PALB2 FBXO3 CD79B TEX10 AC133919.6
PALB2 FBXO3 CD79B TEX10 RP11-356C4.2
PALB2 SLC17A6 RAD51C FANCC FANCA
PALB2 SLC17A6 RAD51C FANCC DBNDD1
PALB2 SLC17A6 RAD51C FANCC AC133919.6
PALB2 SLC17A6 RAD51C FANCC RP11-356C4.2
PALB2 SLC17A6 RAD51C TMOD1 FANCA
PALB2 SLC17A6 RAD51C TMOD1 DBNDD1
PALB2 SLC17A6 RAD51C TMOD1 AC133919.6
PALB2 SLC17A6 RAD51C TMOD1 RP11-356C4.2
PALB2 SLC17A6 RAD51C MSANTD3-TMEFF1 FANCA
PALB2 SLC17A6 RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 SLC17A6 RAD51C MSANTD3-TMEFF1 AC133919.6
PALB2 SLC17A6 RAD51C MSANTD3-TMEFF1 RP11-356C4.2
PALB2 SLC17A6 RAD51C TEX10 FANCA
PALB2 SLC17A6 RAD51C TEX10 DBNDD1
PALB2 SLC17A6 RAD51C TEX10 AC133919.6
PALB2 SLC17A6 RAD51C TEX10 RP11-356C4.2
PALB2 SLC17A6 BRIP1 FANCC FANCA
PALB2 SLC17A6 BRIP1 FANCC DBNDD1
PALB2 SLC17A6 BRIP1 FANCC AC133919.6
PALB2 SLC17A6 BRIP1 FANCC RP11-356C4.2
PALB2 SLC17A6 BRIP1 TMOD1 FANCA
PALB2 SLC17A6 BRIP1 TMOD1 DBNDD1
PALB2 SLC17A6 BRIP1 TMOD1 AC133919.6
PALB2 SLC17A6 BRIP1 TMOD1 RP11-356C4.2
PALB2 SLC17A6 BRIP1 MSANTD3-TMEFF1 FANCA
PALB2 SLC17A6 BRIP1 MSANTD3-TMEFF1 DBNDD1
PALB2 SLC17A6 BRIP1 MSANTD3-TMEFF1 AC133919.6
PALB2 SLC17A6 BRIP1 MSANTD3-TMEFF1 RP11-356C4.2
PALB2 SLC17A6 BRIP1 TEX10 FANCA
PALB2 SLC17A6 BRIP1 TEX10 DBNDD1
PALB2 SLC17A6 BRIP1 TEX10 AC133919.6
PALB2 SLC17A6 BRIP1 TEX10 RP11-356C4.2
PALB2 SLC17A6 CD79B FANCC FANCA
PALB2 SLC17A6 CD79B FANCC DBNDD1
PALB2 SLC17A6 CD79B FANCC AC133919.6
PALB2 SLC17A6 CD79B FANCC RP11-356C4.2
PALB2 SLC17A6 CD79B TMOD1 FANCA
PALB2 SLC17A6 CD79B TMOD1 DBNDD1
PALB2 SLC17A6 CD79B TMOD1 AC133919.6
PALB2 SLC17A6 CD79B TMOD1 RP11-356C4.2
PALB2 SLC17A6 CD79B MSANTD3-TMEFF1 FANCA
PALB2 SLC17A6 CD79B MSANTD3-TMEFF1 DBNDD1
PALB2 SLC17A6 CD79B MSANTD3-TMEFF1 AC133919.6
PALB2 SLC17A6 CD79B MSANTD3-TMEFF1 RP11-356C4.2
PALB2 SLC17A6 CD79B TEX10 FANCA
PALB2 SLC17A6 CD79B TEX10 DBNDD1
PALB2 SLC17A6 CD79B TEX10 AC133919.6
PALB2 SLC17A6 CD79B TEX10 RP11-356C4.2
PALB2 CCDC73 RAD51C FANCC FANCA
PALB2 CCDC73 RAD51C FANCC DBNDD1
PALB2 CCDC73 RAD51C FANCC AC133919.6
PALB2 CCDC73 RAD51C FANCC RP11-356C4.2
PALB2 CCDC73 RAD51C TMOD1 FANCA
PALB2 CCDC73 RAD51C TMOD1 DBNDD1
PALB2 CCDC73 RAD51C TMOD1 AC133919.6
PALB2 CCDC73 RAD51C TMOD1 RP11-356C4.2
PALB2 CCDC73 RAD51C MSANTD3-TMEFF1 FANCA
PALB2 CCDC73 RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 CCDC73 RAD51C MSANTD3-TMEFF1 AC133919.6
PALB2 CCDC73 RAD51C MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CCDC73 RAD51C TEX10 FANCA
PALB2 CCDC73 RAD51C TEX10 DBNDD1
PALB2 CCDC73 RAD51C TEX10 AC133919.6
PALB2 CCDC73 RAD51C TEX10 RP11-356C4.2
PALB2 CCDC73 BRIP1 FANCC FANCA
PALB2 CCDC73 BRIP1 FANCC DBNDD1
PALB2 CCDC73 BRIP1 FANCC AC133919.6
PALB2 CCDC73 BRIP1 FANCC RP11-356C4.2
PALB2 CCDC73 BRIP1 TMOD1 FANCA
PALB2 CCDC73 BRIP1 TMOD1 DBNDD1
PALB2 CCDC73 BRIP1 TMOD1 AC133919.6
PALB2 CCDC73 BRIP1 TMOD1 RP11-356C4.2
PALB2 CCDC73 BRIP1 MSANTD3-TMEFF1 FANCA
PALB2 CCDC73 BRIP1 MSANTD3-TMEFF1 DBNDD1
PALB2 CCDC73 BRIP1 MSANTD3-TMEFF1 AC133919.6
PALB2 CCDC73 BRIP1 MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CCDC73 BRIP1 TEX10 FANCA
PALB2 CCDC73 BRIP1 TEX10 DBNDD1
PALB2 CCDC73 BRIP1 TEX10 AC133919.6
PALB2 CCDC73 BRIP1 TEX10 RP11-356C4.2
PALB2 CCDC73 CD79B FANCC FANCA
PALB2 CCDC73 CD79B FANCC DBNDD1
PALB2 CCDC73 CD79B FANCC AC133919.6
PALB2 CCDC73 CD79B FANCC RP11-356C4.2
PALB2 CCDC73 CD79B TMOD1 FANCA
PALB2 CCDC73 CD79B TMOD1 DBNDD1
PALB2 CCDC73 CD79B TMOD1 AC133919.6
PALB2 CCDC73 CD79B TMOD1 RP11-356C4.2
PALB2 CCDC73 CD79B MSANTD3-TMEFF1 FANCA
PALB2 CCDC73 CD79B MSANTD3-TMEFF1 DBNDD1
PALB2 CCDC73 CD79B MSANTD3-TMEFF1 AC133919.6
PALB2 CCDC73 CD79B MSANTD3-TMEFF1 RP11-356C4.2
PALB2 CCDC73 CD79B TEX10 FANCA
PALB2 CCDC73 CD79B TEX10 DBNDD1
PALB2 CCDC73 CD79B TEX10 AC133919.6
PALB2 CCDC73 CD79B TEX10 RP11-356C4.2
PALB2 CAPRIN1 RAD51C FANCC FANCA
PALB2 CAPRIN1 RAD51C FANCC DBNDD1
PALB2 CAPRIN1 RAD51C FANCC AC133919.6
PALB2 CAPRIN1 RAD51C FANCC RP11-356C4.2
PALB2 CAPRIN1 RAD51C TMOD1 FANCA
PALB2 CAPRIN1 RAD51C TMOD1 DBNDD1
PALB2 CAPRIN1 RAD51C TMOD1 AC133919.6
PALB2 CAPRIN1 RAD51C TMOD1 RP11-356C4.2
PALB2 CAPRIN1 RAD51C MSANTD3-TMEFF1 FANCA
PALB2 CAPRIN1 RAD51C MSANTD3-TMEFF1 DBNDD1
PALB2 CAPRIN1 RAD51C MSANTD3-TMEFF1 AC133919.6
