gene score locus
PALB2 0.13280434328669868 0
NUPR1 0.02125051082958725 0
CTB-134H23.2 0.0 0
SLC5A11 0.016724454415663878 0
KIAA0556 0.0 0
CD19 0.017375306623058053 0
SH2B1 0.0 0
CCDC101 0.11303815547847378 0
GTF3C1 0.0 0
IL27 0.0 0
ARHGAP17 0.0 0
ERN2 0.1939171259440702 0
DCTN5 0.0 0
NSMCE1 0.07547169811320754 0
AQP8 0.029544521953221173 0
RABEP2 0.01940755873340143 0
XPO6 0.14645637034002457 0
ATP2A1 0.2682478020854631 0
CHP2 0.39004914004914004 0
BOLA2 0.13633584674954147 0
KDM8 0.014675907052588666 0
EIF3C 0.2508682328907048 0
ATXN2L 0.07588187038556193 0
LAT 0.0 0
ZKSCAN2 0.15310907237512741 0
SULT1A1 0.023317651871548373 0
HS3ST4 0.0 0
EIF3CL 0.198238787630555 0
TUFM 0.2969832857725234 0
NPIPL1 0.0 0
SNX29P2 0.0 0
IL21R 0.0 0
PRKCB 0.24566060853583827 0
SPNS1 0.09011213047910295 0
TNRC6A 0.0 0
CACNG3 0.0 0
PLK1 0.5702885205647636 0
RBBP6 0.048825331971399384 0
NFATC2IP 0.33939146416173166 0
APOBR 0.0 0
IL4R 0.02246732026143791 0
SULT1A2 0.0 0
CTD-3203P2.2 0.0 0
GSG1L 0.0 0
SBK1 0.03600654664484452 0
LCMT1 0.04111270198404582 0
FANCF 0.2300479266513857 1
CSTF3 0.2495921696574225 1
FBXO3 0.0 1
SLC17A6 0.018983466013472138 1
CCDC73 0.0 1
CAPRIN1 0.02042483660130719 1
RCN1 0.05896805896805897 1
BDNF 0.0 1
METTL15 0.03767820773930754 1
CCDC34 0.0 1
EIF3M 0.16697322705906398 1
LUZP2 0.0 1
BBOX1 0.031154551007941355 1
CAT 0.20555215350071443 1
PRRG4 0.0 1
SLC5A12 0.01933251933251933 1
QSER1 0.0 1
AC103801.2 0.0 1
TCP11L1 0.012426156039926665 1
SVIP 0.0 1
CD59 0.0 1
NAT10 0.21484055600981194 1
C11orf91 0.0 1
KCNA4 0.013045250713412148 1
FIBIN 0.0 1
ARL14EP 0.020778162558565898 1
ABTB2 0.0 1
LMO2 0.058775676225340655 1
ELP4 0.04325543255432554 1
MUC15 0.0 1
DNAJC24 0.038963688290493674 1
GAS2 0.0 1
LGR4 0.2903818664488462 1
RP11-17A1.2 0.0 1
MPPED2 0.0 1
KIF18A 0.15845430382334902 1
FSHB 0.0 1
HIPK3 0.26099348534201955 1
PAX6 0.03625254582484725 1
DEPDC7 0.0367047308319739 1
IMMP1L 0.03906408952187182 1
KIAA1549L 0.0 1
WT1 0.19621026894865526 1
DCDC5 0.0 1
AC132216.1 0.0 1
ANO5 0.0 1
ANO3 0.0 1
ELF5 0.03867290860981071 1
EHF 0.017809621289662233 1
LIN7C 0.01062959934587081 1
RAD51C 0.41060012373685295 2
BRIP1 0.1187976116944616 2
CD79B 0.021774521774521775 2
CACNG1 0.0 2
TANC2 0.08328279765514453 2
SMG8 0.023053589484327605 2
RP11-15E18.4 0.0 2
TEX2 0.019441069258809233 2
YPEL2 0.03517994338859685 2
RGS9 0.0 2
C17orf72 0.0 2
STRADA 0.0 2
DDX42 0.018428513568246253 2
TACO1 0.05858503952969795 2
ICAM2 0.0 2
APOH 0.02044120623355596 2
PRKCA 0.25480671928759363 2
FTSJ3 0.14650974025974026 2
TBX4 0.01804907726627459 2
DCAF7 0.05425101214574899 2
GH1 0.021712662337662336 2
GDPD1 0.09882543539894695 2
CTD-2510F5.6 0.0 2
METTL2A 0.03932698155280762 2
MRC2 0.0 2
MAP3K3 0.23431808984216917 2
PRR11 0.042130848693538586 2
MED13 0.018593371059013743 2
C17orf64 0.19622947496452464 2
TBX2 0.018019842073294188 2
POLG2 0.18903056061526008 2
SMURF2 0.2097067745197169 2
AXIN2 0.062348178137651825 2
CEP95 0.022253692089823994 2
INTS2 0.0 2
PPM1E 0.19861760520430982 2
CA4 0.0 2
CEP112 0.0 2
SMARCD2 0.1218233158531666 2
C17orf82 0.0 2
USP32 0.018406148867313916 2
KCNH6 0.018848804215646536 2
CACNG4 0.0 2
CSH1 0.01879927228623408 2
RPS6KB1 0.3162479740680713 2
CTD-2535L24.2 0.0 2
RNFT1 0.042239288601455136 2
BCAS3 0.0 2
LIMD2 0.0 2
NACA2 0.16997568881685576 2
RP11-51F16.8 0.0 2
DDX5 0.24863332658432882 2
APPBP2 0.17523269931201943 2
SKA2 0.018052738336713996 2
TRIM37 0.019242454932145027 2
SCN4A 0.0 2
PTRH2 0.056500607533414335 2
DHX40 0.059740785743215875 2
RP11-178C3.1 0.25925172834485566 2
CCDC47 0.01734570391286809 2
GNA13 0.23807590826060482 2
GH2 0.0 2
CSH2 0.019066937119675456 2
CYB561 0.0 2
HEATR6 0.0 2
VMP1 0.0 2
PSMC5 0.22190726867787 2
CSHL1 0.0 2
EFCAB3 0.14398382204246715 2
TUBD1 0.18121077141121686 2
CACNG5 0.0 2
PPM1D 0.21703853955375255 2
AC005544.1 0.0 2
LRRC37A3 0.0 2
CLTC 0.21059013742926436 2
ERN1 0.15266248228386314 2
MARCH10 0.1157830591102986 2
TLK2 0.022069244786394007 2
FANCC 0.29387244685285535 3
TMOD1 0.02204531537048377 3
MSANTD3-TMEFF1 0.0 3
TEX10 0.09708341831531715 3
HIATL2 0.02141545992249643 3
LPPR1 0.0 3
MRPL50 0.0 3
CDC14B 0.2083673469387755 3
FOXE1 0.07971457696228339 3
ZNF510 0.17850600447791573 3
BAAT 0.0 3
COL15A1 0.0 3
CORO2A 0.2645675730934369 3
HABP4 0.052920822308162016 3
INVS 0.0840113913751017 3
SLC35D2 0.05702023298589822 3
C9orf156 0.0 3
HSD17B3 0.0 3
ZNF189 0.17643467643467645 3
GABBR2 0.0 3
C9orf174 0.0 3
FAM22G 0.0 3
ZNF782 0.18020408163265306 3
ANP32B 0.08418263350998777 3
XPA 0.22600366822906054 3
DKFZP434H0512 0.0 3
TSTD2 0.018529830991651394 3
SEC61B 0.08158270446665307 3
NR4A3 0.04978575800856968 3
ANKS6 0.14355528405620036 3
PTCH1 0.01839738348323794 3
TMEFF1 0.0 3
MURC 0.0 3
CTSL2 0.01491317671092952 3
AAED1 0.0 3
STX17 0.18917262512768132 3
GALNT12 0.0 3
ERP44 0.1387530562347188 3
TGFBR1 0.09494702526487367 3
TDRD7 0.0 3
TBC1D2 0.1469387755102041 3
HEMGN 0.0 3
ALG2 0.06661217817736004 3
MSANTD3 0.0 3
TRIM14 0.0 3
NANS 0.016987310683585756 3
NCBP1 0.4252241238793806 3
KRT8P11 0.017970185828057993 3
ERCC6L2 0.039942938659058486 3
ZNF367 0.17744238221497044 3
FANCA 0.17481203007518797 4
DBNDD1 0.0 4
AC133919.6 0.0 4
RP11-356C4.2 0.0 4
MC1R 0.018663194444444444 4
SPIRE2 0.0 4
C16orf3 0.0 4
CENPBD1 0.0 4
DEF8 0.021442495126705652 4
GAS8 0.0 4
PRDM7 0.0 4
TCF25 0.011711125569290826 4
UBE2T 0.2026998961578401 5
PPFIA4 0.01843506759524785 5
SNRPE 0.11464060272856852 5
LGR6 0.11034201954397393 5
ZC3H11A 0.0 5
TMEM183A 0.0 5
PPP1R12B 0.1934432905721849 5
SOX13 0.0 5
GOLT1A 0.01757972199509403 5
DSTYK 0.08961012451520718 5
NUAK2 0.018230233510856206 5
NFASC 0.0 5
LRRN2 0.11104307001428863 5
ADIPOR1 0.021921737348903913 5
PPP1R15B 0.0 5
CHIT1 0.0 5
KLHL12 0.02022058823529412 5
MDM4 0.07736156351791532 5
ZBED6 0.0 5
RBBP5 0.11210945476822544 5
RABIF 0.020237121831561733 5
BTG2 0.03104575163398693 5
MYOG 0.0 5
KISS1 0.0 5
REN 0.05280259951259139 5
CDK18 0.5904645476772616 5
PIK3C2B 0.28489912370083553 5
KDM5B 0.10108229528282622 5
CNTN2 0.038234695952816755 5
CYB5R1 0.0 5
LAX1 0.0 5
ADORA1 0.0 5
ELK4 0.0 5
TMCC2 0.0 5
AC119673.1 0.0 5
KLHDC8A 0.014663951120162933 5
RP11-480I12.4 0.0 5
MFSD4 0.0 5
MYBPH 0.018560065266163574 5
ETNK2 0.016106014271151887 5
OPTC 0.11045445282249847 5
SYT2 0.0 5
FMOD 0.11049949031600408 5
PLEKHA6 0.0 5
CHI3L1 0.0 5
PRELP 0.12859180762176484 5
LEMD1 0.0 5
TMEM81 0.0 5
ATP2B4 0.07703310175725378 5
SLC45A3 0.0 5
FANCD2 0.19286905754795663 6
VGLL4 0.01837484687627603 6
TAMM41 0.019975540154912354 6
ZFYVE20 0.06303549571603427 6
EAF1 0.021011831905344756 6
IQSEC1 0.021151108399430546 6
SLC6A6 0.0 6
VHL 0.0797558494404883 6
TMEM43 0.0 6
C3orf20 0.0 6
TATDN2 0.1231052847193773 6
PPARG 0.08708953701815215 6
LSM3 0.04990795663734915 6
CCDC174 0.0 6
NUP210 0.10012259910093993 6
SH3BP5 0.0 6
WNT7A 0.012035903712770298 6
TMEM40 0.0 6
HRH1 0.016517128874388255 6
IRAK2 0.3439853450030531 6
SEC13 0.09543313536760188 6
TSEN2 0.03839085154176026 6
ATP2B2 0.10956947561722098 6
SLC6A11 0.0 6
CHCHD4 0.0 6
COLQ 0.0 6
MKRN2-AS1 0.03890812792829497 6
BRK1 0.0 6
CAPN7 0.22333265347746278 6
AC034193.1 0.0 6
FGD5 0.0 6
TPRXL 0.0 6
XPC 0.13300693594451243 6
GHRL 0.0 6
SYN2 0.0 6
ATG7 0.21808510638297873 6
MKRN2 0.03950315618000407 6
SLC6A1 0.0 6
NR2C2 0.01754028146033041 6
BTD 0.0 6
FANCD2OS 0.0 6
MRPS25 0.0 6
HDAC11 0.15848441637808108 6
HACL1 0.0 6
RPL32 0.18959868959868958 6
RAF1 0.1473941368078176 6
METTL6 0.0 6
TIMP4 0.0 6
CAND2 0.023625254582484725 6
FBLN2 0.018960244648318043 6
FANCE 0.32209737827715357 7
KCNK5 0.022163481089873933 7
MTCH1 0.0 7
PI16 0.0 7
BRPF3 0.20036764705882354 7
TMEM217 0.0 7
RPL10A 0.16959542296689825 7
GLP1R 0.0 7
ARMC12 0.0 7
STK38 0.5736133768352365 7
KIF6 0.04363784665579119 7
CLPSL2 0.0 7
CCDC167 0.0 7
DAAM2 0.22756082600695154 7
PPIL1 0.11596570028583095 7
MDGA1 0.0 7
MAPK13 0.7255700325732899 7
KCNK17 0.022244897959183673 7
RNF8 0.039918533604887986 7
MAPK14 0.7948508377605231 7
ETV7 0.0177153329260843 7
SRSF3 0.01973148901545972 7
PXT1 0.0 7
COX6A1P2 0.04431284459873392 7
TEAD3 0.10796496231411692 7
C6orf89 0.0 7
FTSJD2 0.0 7
SAYSD1 0.0 7
SRPK1 0.06956875508543531 7
KCNK16 0.02157541217178913 7
TULP1 0.0 7
ZFAND3 0.020799347471451877 7
CPNE5 0.0 7
PPARD 0.0 7
GLO1 0.0 7
FKBP5 0.18061494603950315 7
PNPLA1 0.0 7
TBC1D22B 0.09630687614772496 7
SLC26A8 0.0 7
KCTD20 0.0 7
C6orf222 0.0 7
BTBD9 0.0 7
PIM1 0.3330618892508143 7
LHFPL5 0.0 7
CDKN1A 0.14586743044189854 7
CLPSL1 0.0 7
DNAH8 0.16438635899530324 7
RAB44 0.10046967531141515 7
FGD2 0.02102469891814656 7
CLPS 0.0 7
BRCA2 0.17253521126760563 8
PROSER1 0.0 8
MRPS31 0.0359902399349329 8
UFM1 0.023051815585475317 8
AKAP11 0.03586712859180762 8
N4BP2L2 0.03772430668841762 8
TNFSF11 0.0 8
FOXO1 0.18285948046635303 8
CCDC169 0.0 8
KBTBD7 0.017318663406682967 8
PDS5B 0.06292134831460675 8
EXOSC8 0.14848856209150327 8
FREM2 0.0 8
MAB21L1 0.0 8
VWA8 0.02078239608801956 8
